1,3480,10523,6302,8418,170,75,0,0
2,5937,8627,9879,7444,110,115,0,0
10,11260,6174,8176,11121,170,165,0,0
11,6299,12542,7750,11549,195,200,0,0
4,10165,3666,9829,3525,250,170,0,0
5,9899,8327,753,724,175,240,0,0
6,11497,608,11214,4683,81,15,0,0
7,7161,4628,5687,5009,220,105,0,0
8,8923,7477,4155,11524,230,85,0,0
12,10060,4216,25,6990,245,135,0,0
13,7153,4549,3746,8496,175,105,0,0
14,11572,12540,10247,12561,265,85,0,0
15,8815,10298,8373,12527,120,130,0,0
16,6559,3595,8651,7172,195,115,0,0
17,10523,9899,3208,5937,160,160,0,0
18,5009,8327,7477,8668,165,220,0,0
19,5687,5064,10165,8471,205,180,0,0
20,11214,3480,4628,8627,250,70,0,0
21,11260,25,9879,11524,95,81,0,0
22,12540,7153,11549,5795,115,255,0,0
23,8496,12527,10247,3525,60,100,0,0
24,11121,608,8815,3666,75,245,0,0
25,10060,11572,6302,8923,20,155,0,0
26,11497,7802,8418,7750,35,165,0,0
27,6174,3746,7161,6559,40,165,0,0
28,4155,4683,4216,4549,85,220,0,0
29,3595,11192,6299,8176,265,130,0,0
30,11168,724,12561,7172,270,190,0,0
31,8651,7444,753,10298,145,115,0,0
32,8373,6990,9829,12542,115,195,0,0
33,8627,11524,5687,8815,133,125,0,0
34,25,9899,7802,8923,185,145,0,0
35,12527,4628,11121,8471,180,150,0,0
36,9879,10060,6174,5795,140,165,0,0
37,11214,6299,8418,4216,225,125,0,0
38,11497,10523,3595,10165,25,185,0,0
39,12540,3525,8651,6302,115,120,0,0
40,11168,11572,4549,6559,155,75,0,0
41,7161,5937,11260,7172,195,195,0,0
42,12561,5064,11192,5009,220,115,0,0
43,3746,9829,10298,8327,85,180,0,0
44,8668,11549,10247,3480,130,180,0,0
45,7153,608,7444,8373,90,220,0,0
46,7750,8496,753,4155,75,80,0,0
47,3208,8176,4683,12542,150,95,0,0
48,7477,724,3666,6990,300,205,0,0
49,6302,6174,4216,7172,80,195,0,0
50,8418,3595,7161,3525,250,205,0,0
51,11524,10165,3746,10060,115,170,0,0
